id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3794,KPUB,medium_airport,Pueblo Memorial Airport,38.289101,-104.497002,4726,NA,US,US-CO,Pueblo,yes,KPUB,PUB,PUB,,https://en.wikipedia.org/wiki/Pueblo_Memorial_Airport,
20883,KPUW,medium_airport,Pullman Moscow Regional Airport,46.7439,-117.110001,2556,NA,US,US-WA,Pullman/Moscow,yes,KPUW,PUW,PUW,http://www.pullman-wa.gov/airport/,https://en.wikipedia.org/wiki/Pullman-Moscow_Regional_Airport,
3795,KPVD,large_airport,Theodore Francis Green State Airport,41.732601,-71.420403,55,NA,US,US-RI,Providence,yes,KPVD,PVD,PVD,,https://en.wikipedia.org/wiki/T._F._Green_Airport,
20890,KPVU,medium_airport,Provo-Utah Lake International Airport,40.2192,-111.723,4497,NA,US,US-UT,Provo,yes,KPVU,PVU,PVU,http://www.provo.org/city-services/airport,https://en.wikipedia.org/wiki/Provo_Municipal_Airport,
20896,KPWK,medium_airport,Chicago Executive Airport,42.114222,-87.901494,647,NA,US,US-IL,Chicago/Prospect Heights/Wheeling,no,KPWK,PWK,PWK,http://chiexec.com/,https://en.wikipedia.org/wiki/Chicago_Executive_Airport,
3796,KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,76,NA,US,US-ME,Portland,yes,KPWM,PWM,PWM,,https://en.wikipedia.org/wiki/Portland_International_Jetport,
3797,KPWT,medium_airport,Bremerton National Airport,47.49020004,-122.7649994,444,NA,US,US-WA,Bremerton,no,KPWT,PWT,PWT,https://en.wikipedia.org/wiki/Bremerton_National_Airport,https://en.wikipedia.org/wiki/Bremerton_National_Airport,
3837,KRAL,medium_airport,Riverside Municipal Airport,33.9519,-117.445,819,NA,US,US-CA,Riverside,no,KRAL,RAL,RAL,http://www.riversideca.gov/airport/,https://en.wikipedia.org/wiki/Riverside_Municipal_Airport,Riverside Arlington
3838,KRAP,medium_airport,Rapid City Regional Airport,44.04529953,-103.0569992,3204,NA,US,US-SD,Rapid City,yes,KRAP,RAP,RAP,,https://en.wikipedia.org/wiki/Rapid_City_Regional_Airport,
3839,KRBL,medium_airport,Red Bluff Municipal Airport,40.15069962,-122.2519989,352,NA,US,US-CA,Red Bluff,no,KRBL,RBL,RBL,,https://en.wikipedia.org/wiki/Red_Bluff_Municipal_Airport,
3840,KRCA,medium_airport,Ellsworth Air Force Base,44.14500046,-103.1039963,3276,NA,US,US-SD,Rapid City,no,KRCA,RCA,RCA,http://www.ellsworth.af.mil/,https://en.wikipedia.org/wiki/Ellsworth_Air_Force_Base,28th Bomb Wing
3841,KRDD,medium_airport,Redding Municipal Airport,40.50899887,-122.2929993,505,NA,US,US-CA,Redding,yes,KRDD,RDD,RDD,,https://en.wikipedia.org/wiki/Redding_Municipal_Airport,
3842,KRDG,medium_airport,Reading Regional Airport (Carl A Spaatz Field),40.378502,-75.965202,344,NA,US,US-PA,Reading,yes,KRDG,RDG,RDG,,https://en.wikipedia.org/wiki/Reading_Regional_Airport,
3843,KRDM,medium_airport,Roberts Field,44.2541008,-121.1500015,3080,NA,US,US-OR,Redmond,yes,KRDM,RDM,RDM,,https://en.wikipedia.org/wiki/Roberts_Field,
20922,KRDR,medium_airport,Grand Forks Air Force Base,47.96110153,-97.40119934,913,NA,US,US-ND,Grand Forks,no,KRDR,RDR,RDR,http://www.grandforks.af.mil/,https://en.wikipedia.org/wiki/Grand_Forks_Air_Force_Base,
3844,KRDU,large_airport,Raleigh Durham International Airport,35.87760162,-78.78749847,435,NA,US,US-NC,Raleigh/Durham,yes,KRDU,RDU,RDU,,https://en.wikipedia.org/wiki/Raleigh-Durham_International_Airport,
3845,KRFD,large_airport,Chicago Rockford International Airport,42.19540024,-89.09719849,742,NA,US,US-IL,Chicago/Rockford,yes,KRFD,RFD,RFD,,https://en.wikipedia.org/wiki/Chicago/Rockford_International_Airport,
3846,KRHI,medium_airport,Rhinelander Oneida County Airport,45.63119888,-89.46749878,1624,NA,US,US-WI,Rhinelander,yes,KRHI,RHI,RHI,,https://en.wikipedia.org/wiki/Rhinelander-Oneida_County_Airport,
3847,KRIC,large_airport,Richmond International Airport,37.50519943,-77.31970215,167,NA,US,US-VA,Richmond,yes,KRIC,RIC,RIC,,https://en.wikipedia.org/wiki/Richmond_International_Airport,
20931,KRIL,medium_airport,Garfield County Regional Airport,39.526299,-107.726997,5548,NA,US,US-CO,Rifle,no,KRIL,RIL,RIL,http://www.rifleairport.com/,https://en.wikipedia.org/wiki/Garfield_County_Regional_Airport,Rifle Airport
3849,KRIV,medium_airport,March Air Reserve Base,33.880699,-117.259003,1536,NA,US,US-CA,Riverside,no,KRIV,RIV,RIV,,https://en.wikipedia.org/wiki/March_Air_Reserve_Base,
20933,KRIW,medium_airport,Riverton Regional Airport,43.06420136,-108.4599991,5525,NA,US,US-WY,Riverton,no,KRIW,RIW,RIW,,https://en.wikipedia.org/wiki/Riverton_Regional_Airport,
3850,KRKS,medium_airport,Southwest Wyoming Regional Airport,41.5942,-109.065001,6764,NA,US,US-WY,Rock Springs,yes,KRKS,RKS,RKS,,https://en.wikipedia.org/wiki/Rock_Springs_-_Sweetwater_County_Airport,Rock Springs Sweetwater County
20940,KRME,medium_airport,Griffiss International Airport,43.23379898,-75.40699768,504,NA,US,US-NY,Rome,no,KRME,RME,RME,http://www.ocgov.net/oneida/airport,https://en.wikipedia.org/wiki/Griffiss_Airfield,
3851,KRMG,medium_airport,Richard B Russell Airport,34.3506012,-85.15799713,644,NA,US,US-GA,Rome,no,KRMG,RMG,RMG,http://www.romefloyd.com/EconomicDevelopment/Airport/tabid/306/Default.aspx,https://en.wikipedia.org/wiki/Richard_B._Russell_Airport,Towers Field
3852,KRND,large_airport,Randolph Air Force Base,29.52969933,-98.27890015,761,NA,US,US-TX,Universal City,no,KRND,RND,RND,http://www.military.com/base-guide/randolph-air-force-base,https://en.wikipedia.org/wiki/Randolph_Air_Force_Base,
3853,KRNO,large_airport,Reno Tahoe International Airport,39.49909973,-119.7679977,4415,NA,US,US-NV,Reno,yes,KRNO,RNO,RNO,,https://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport,
3854,KROA,large_airport,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,1175,NA,US,US-VA,Roanoke,yes,KROA,ROA,ROA,http://www.roanokeairport.com/,https://en.wikipedia.org/wiki/Roanoke%E2%80%93Blacksburg_Regional_Airport,Woodrum Field
3855,KROC,medium_airport,Greater Rochester International Airport,43.1189,-77.672401,559,NA,US,US-NY,Rochester,yes,KROC,ROC,ROC,,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport,
3856,KROW,medium_airport,Roswell Air Center Airport,33.301601,-104.530998,3671,NA,US,US-NM,Roswell,yes,KROW,ROW,ROW,,https://en.wikipedia.org/wiki/Roswell_International_Air_Center,"Roswell Army Air Field, Walker Air Force Base"
20962,KRSL,medium_airport,Russell Municipal Airport,38.87210083,-98.8117981,1862,NA,US,US-KS,Russell,no,KRSL,RSL,RSL,http://www.russellcity.org/airport.php,,
3857,KRST,large_airport,Rochester International Airport,43.90829849,-92.5,1317,NA,US,US-MN,Rochester,yes,KRST,RST,RST,,https://en.wikipedia.org/wiki/Rochester_International_Airport,
3858,KRSW,large_airport,Southwest Florida International Airport,26.53619957,-81.75520325,30,NA,US,US-FL,Fort Myers,yes,KRSW,RSW,RSW,http://www.flylcpa.com/,https://en.wikipedia.org/wiki/Southwest_Florida_International_Airport,
3859,KRUT,medium_airport,Rutland - Southern Vermont Regional Airport,43.52939987,-72.94960022,787,NA,US,US-VT,Rutland,yes,KRUT,RUT,RUT,,https://en.wikipedia.org/wiki/Rutland_State_Airport,
20972,KRVS,medium_airport,Richard Lloyd Jones Jr Airport,36.03960037,-95.98459625,638,NA,US,US-OK,Tulsa,no,KRVS,RVS,RVS,http://www.tulsaairports.com/general-aviation/r-l-jones/,https://en.wikipedia.org/wiki/Richard_Lloyd_Jones_Jr._Airport,Riverside Airport
20973,KRWF,medium_airport,Redwood Falls Municipal Airport,44.54719925,-95.08229828,1024,NA,US,US-MN,Redwood Falls,no,KRWF,RWF,RWF,,,
3860,KRWI,medium_airport,Rocky Mount Wilson Regional Airport,35.85630035,-77.89189911,159,NA,US,US-NC,Rocky Mount,no,KRWI,RWI,RWI,,,
20974,KRWL,medium_airport,Rawlins Municipal Airport/Harvey Field,41.80559921,-107.1999969,6813,NA,US,US-WY,Rawlins,no,KRWL,RWL,RWL,http://www.wyomingairports.org/index.php?/main/airports_detail/rawlins_municipal_airport/,https://en.wikipedia.org/wiki/Rawlins_Municipal_Airport,
3861,KSAC,medium_airport,Sacramento Executive Airport,38.51250076,-121.4929962,24,NA,US,US-CA,Sacramento,no,KSAC,SAC,SAC,http://www.sacramento.aero/sac/,https://en.wikipedia.org/wiki/Sacramento_Executive_Airport,"Sutterville Aerodrome, Sacramento Municipal"
21033,KSAF,medium_airport,Santa Fe Municipal Airport,35.61709976,-106.0889969,6348,NA,US,US-NM,Santa Fe,no,KSAF,SAF,SAF,,,
3862,KSAN,large_airport,San Diego International Airport,32.73360062,-117.1900024,17,NA,US,US-CA,San Diego,yes,KSAN,SAN,SAN,http://www.san.org/,https://en.wikipedia.org/wiki/San_Diego_International_Airport,Lindbergh Field
3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,809,NA,US,US-TX,San Antonio,yes,KSAT,SAT,SAT,https://www.sanantonio.gov/aviation,https://en.wikipedia.org/wiki/San_Antonio_International_Airport,
3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50,NA,US,US-GA,Savannah,yes,KSAV,SAV,SAV,,https://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport,
3865,KSAW,medium_airport,Sawyer International Airport,46.35359955,-87.395401,1221,NA,US,US-MI,Marquette,no,KSAW,MQT,SAW,http://www.sawyerairport.com/,https://en.wikipedia.org/wiki/Sawyer_International_Airport,
3866,KSBA,medium_airport,Santa Barbara Municipal Airport,34.42620087,-119.8399963,13,NA,US,US-CA,Santa Barbara,yes,KSBA,SBA,SBA,,https://en.wikipedia.org/wiki/Santa_Barbara_Airport,
3867,KSBD,medium_airport,San Bernardino International Airport,34.095402,-117.235001,1159,NA,US,US-CA,San Bernardino,no,KSBD,SBD,SBD,http://sbdairport.com/,https://en.wikipedia.org/wiki/San_Bernardino_International_Airport,"Norton AFB, San Bernardino Air Depot"
3868,KSBN,medium_airport,South Bend Regional Airport,41.708698,-86.317299,799,NA,US,US-IN,South Bend,yes,KSBN,SBN,SBN,,https://en.wikipedia.org/wiki/South_Bend_Regional_Airport,
3869,KSBP,medium_airport,San Luis County Regional Airport,35.23680115,-120.6419983,212,NA,US,US-CA,San Luis Obispo,yes,KSBP,SBP,SBP,http://www.sloairport.com/,https://en.wikipedia.org/wiki/San_Luis_Obispo_County_Regional_Airport,SLO Airport
3870,KSBY,medium_airport,Salisbury Ocean City Wicomico Regional Airport,38.34049988,-75.51029968,52,NA,US,US-MD,Salisbury,yes,KSBY,SBY,SBY,,https://en.wikipedia.org/wiki/Wicomico_Regional_Airport,
3871,KSCH,medium_airport,Schenectady County Airport,42.85250092,-73.92890167,378,NA,US,US-NY,Schenectady,no,KSCH,SCH,SCH,http://www.schenectadycounty.com/FullStory.aspx?m=100&amid=432,https://en.wikipedia.org/wiki/Schenectady_County_Airport,
3872,KSCK,medium_airport,Stockton Metropolitan Airport,37.89419937,-121.237999,33,NA,US,US-CA,Stockton,no,KSCK,SCK,SCK,http://www.sjgov.org/airport/,https://en.wikipedia.org/wiki/Stockton_Metropolitan_Airport,
3873,KSDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,501,NA,US,US-KY,Louisville,yes,KSDF,SDF,SDF,http://www.flylouisville.com,https://en.wikipedia.org/wiki/Louisville_International_Airport,"Louisville International, Standiford Field"
3874,KSDM,medium_airport,Brown Field Municipal Airport,32.57229996,-116.9800034,526,NA,US,US-CA,San Diego,no,KSDM,SDM,SDM,http://www.sandiego.gov/airports/brown/,https://en.wikipedia.org/wiki/Brown_Field_Municipal_Airport,
21046,KSDY,medium_airport,Sidney - Richland Regional Airport,47.706902,-104.193001,1985,NA,US,US-MT,Sidney,no,KSDY,SDY,SDY,,https://en.wikipedia.org/wiki/Sidney%E2%80%93Richland_Municipal_Airport,
3875,KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,433,NA,US,US-WA,Seattle,yes,KSEA,SEA,SEA,http://www.portseattle.org/seatac/,https://en.wikipedia.org/wiki/Seattle–Tacoma_International_Airport,
3876,KSFB,large_airport,Orlando Sanford International Airport,28.77759933,-81.23750305,55,NA,US,US-FL,Orlando,yes,KSFB,SFB,SFB,,https://en.wikipedia.org/wiki/Orlando_Sanford_International_Airport,
3877,KSFF,medium_airport,Felts Field,47.68280029,-117.322998,1953,NA,US,US-WA,Spokane,no,KSFF,SFF,SFF,http://feltsfield.spokaneairports.net/,https://en.wikipedia.org/wiki/Felts_Field_Airport,Parkwater Airstrip
3878,KSFO,large_airport,San Francisco International Airport,37.61899948,-122.375,13,NA,US,US-CA,San Francisco,yes,KSFO,SFO,SFO,http://www.flysfo.com/,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA"
